<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/10/18,114870,114980,114870,114920
05/10/18,114920,114990,114920,114960
05/10/18,114960,115020,114930,115020
05/10/18,115010,115030,114960,115020
05/10/18,115020,115050,115010,115030
05/10/18,115020,115060,115000,115020
05/10/18,115020,115030,114980,114980
05/10/18,114990,115010,114960,114990
05/10/18,115000,115020,114980,115000
05/10/18,115000,115010,114960,114980
05/10/18,114960,114980,114950,114970
05/10/18,114980,115000,114960,114990
05/10/18,114980,114990,114950,114960
05/10/18,114960,114970,114910,114910
05/10/18,114910,114930,114900,114920
05/10/18,114900,114960,114890,114910
05/10/18,114900,114950,114900,114920
05/10/18,114920,114930,114850,114890
05/10/18,114900,114940,114890,114900
05/10/18,114900,114940,114900,114940
05/10/18,114940,114960,114890,114890
05/10/18,114890,114890,114860,114870
05/10/18,114860,114870,114810,114810
05/10/18,114810,114840,114780,114800
05/10/18,114800,114840,114790,114820
05/10/18,114830,114860,114770,114850
05/10/18,114850,114860,114820,114860
05/10/18,114850,114930,114830,114910
05/10/18,114910,114920,114880,114900
05/10/18,114910,114920,114880,114920
05/10/18,114900,114930,114900,114920
05/10/18,114930,115020,114930,114980
05/10/18,114980,115040,114980,114980
05/10/18,115000,115000,114960,114980
05/10/18,114980,115010,114970,114990
05/10/18,115000,115000,114980,114990
05/10/18,114990,115030,114990,115010
05/10/18,115010,115130,115010,115100
05/10/18,115100,115110,115010,115010
05/10/18,115020,115040,114990,115030
05/10/18,115030,115040,114990,115000
05/10/18,115000,115030,114950,115030
05/10/18,115020,115040,114950,114960
05/10/18,114950,114980,114930,114970
05/10/18,114980,114980,114940,114950
05/10/18,114950,115000,114950,114960
05/10/18,114960,114990,114940,114940
05/10/18,114940,114990,114910,114990
05/10/18,114990,115000,114960,115000
05/10/18,114990,114990,114960,114970
05/10/18,114980,114990,114950,114960
05/10/18,114960,114990,114940,114950
05/10/18,114960,114970,114950,114960
05/10/18,114950,114950,114910,114940
05/10/18,114930,114930,114900,114910
05/10/18,114910,114960,114910,114960
05/10/18,114950,114980,114940,114950
05/10/18,114980,115030,114970,114990
05/10/18,114990,115050,114980,115020
05/10/18,115010,115020,115000,115010
05/10/18,115020,115050,115020,115030
05/10/18,115030,115030,114980,115000
05/10/18,115000,115000,114940,114970
05/10/18,114960,114960,114900,114910
05/10/18,114900,114940,114880,114890
05/10/18,114900,114900,114860,114870
05/10/18,114870,114890,114860,114890
05/10/18,114880,114930,114880,114930
05/10/18,114910,114920,114900,114910
05/10/18,114920,114920,114830,114900
05/10/18,114910,114930,114870,114870
05/10/18,114880,114940,114860,114920
05/10/18,114920,114970,114920,114940
05/10/18,114950,114970,114930,114930
05/10/18,114960,114960,114910,114950
05/10/18,114950,114960,114910,114930
05/10/18,114950,114950,114900,114900
05/10/18,114900,114910,114870,114890
05/10/18,114880,114900,114870,114890
05/10/18,114890,114940,114890,114910
05/10/18,114910,114940,114910,114930
05/10/18,114930,115000,114930,114960
05/10/18,114970,115020,114970,115000
05/10/18,114990,114990,114970,114980
05/10/18,114990,115000,114960,114960
05/10/18,114960,114980,114950,114980
05/10/18,114990,115030,114970,115030
05/10/18,115040,115040,115010,115030
05/10/18,115030,115060,115010,115010
05/10/18,115030,115160,115020,115100
05/10/18,115100,115140,115070,115130
05/10/18,115130,115130,115070,115110
05/10/18,115110,115170,115110,115150
05/10/18,115150,115170,115120,115130
05/10/18,115130,115140,115120,115120
05/10/18,115140,115170,115130,115160
05/10/18,115160,115250,115150,115190
05/10/18,115190,115210,115140,115160
05/10/18,115160,115200,115160,115180
05/10/18,115170,115170,115120,115140
05/10/18,115150,115200,115150,115190
05/10/18,115210,115220,115150,115150
05/10/18,115160,115210,115160,115160
05/10/18,115160,115170,115100,115130
05/10/18,115130,115220,115130,115200
05/10/18,115200,115210,115180,115190
05/10/18,115180,115180,115140,115180
05/10/18,115180,115240,115170,115230
05/10/18,115220,115240,115180,115180
05/10/18,115200,115210,115160,115160
05/10/18,115160,115170,115130,115150
05/10/18,115150,115150,115120,115130
05/10/18,115130,115150,115130,115140
05/10/18,115150,115150,115130,115150
05/10/18,115150,115150,115120,115120
05/10/18,115120,115180,115120,115180
05/10/18,115160,115160,115100,115140
05/10/18,115130,115140,115100,115100
05/10/18,115090,115100,115080,115100
05/10/18,115100,115140,115080,115140
05/10/18,115120,115210,115120,115210
05/10/18,115200,115250,115200,115250
05/10/18,115260,115330,115260,115320
05/10/18,115310,115330,115270,115310
05/10/18,115310,115320,115280,115310
05/10/18,115310,115320,115270,115310
05/10/18,115320,115340,115290,115340
05/10/18,115340,115350,115260,115300
05/10/18,115300,115310,115240,115240
05/10/18,115240,115260,115240,115250
05/10/18,115260,115270,115220,115230
05/10/18,115220,115260,115220,115240
05/10/18,115250,115310,115220,115290
05/10/18,115280,115340,115280,115330
05/10/18,115330,115450,115300,115420
05/10/18,115420,115580,115380,115480
05/10/18,115480,115480,115400,115400
05/10/18,115410,115430,115330,115370
05/10/18,115370,115420,115360,115360
05/10/18,115360,115380,115320,115340
05/10/18,115330,115410,115310,115400
05/10/18,115400,115400,115350,115350
05/10/18,115380,115410,115370,115390
05/10/18,115350,115360,115320,115330
05/10/18,115330,115400,115330,115400
05/10/18,115390,115490,115390,115480
05/10/18,115470,115490,115410,115410
05/10/18,115420,115430,115390,115400
05/10/18,115390,115390,115360,115380
05/10/18,115370,115400,115330,115340
05/10/18,115330,115350,115330,115350
05/10/18,115360,115380,115350,115370
05/10/18,115370,115390,115360,115390
05/10/18,115400,115400,115380,115380
05/10/18,115390,115400,115370,115380
05/10/18,115360,115370,115350,115350
05/10/18,115350,115390,115350,115370
05/10/18,115380,115400,115380,115400
05/10/18,115400,115430,115360,115360
05/10/18,115360,115420,115350,115420
05/10/18,115430,115450,115400,115400
05/10/18,115430,115460,115420,115460
05/10/18,115460,115480,115400,115430
05/10/18,115430,115440,115400,115400
05/10/18,115410,115450,115370,115370
05/10/18,115390,115450,115390,115450
05/10/18,115450,115470,115410,115420
05/10/18,115430,115500,115430,115490
05/10/18,115480,115480,115440,115450
05/10/18,115450,115490,115440,115470
05/10/18,115470,115490,115430,115470
05/10/18,115470,115470,115420,115430
05/10/18,115430,115430,115410,115420
05/10/18,115400,115420,115380,115390
05/10/18,115400,115420,115400,115400
05/10/18,115410,115450,115410,115430
05/10/18,115440,115450,115410,115410
05/10/18,115410,115420,115390,115410
05/10/18,115400,115400,115350,115350
05/10/18,115380,115390,115350,115380
05/10/18,115360,115360,115340,115340
05/10/18,115340,115340,115340,115340
05/10/18,115340,115370,115320,115350
05/10/18,115360,115370,115280,115310
05/10/18,115310,115340,115290,115330
05/10/18,115350,115390,115350,115370
05/10/18,115360,115380,115350,115360
05/10/18,115360,115370,115330,115330
05/10/18,115340,115340,115290,115290
05/10/18,115300,115350,115300,115350
05/10/18,115360,115370,115350,115360
05/10/18,115370,115380,115350,115350
05/10/18,115360,115370,115300,115300
05/10/18,115330,115330,115300,115310
05/10/18,115300,115340,115300,115340
05/10/18,115340,115340,115280,115280
05/10/18,115280,115300,115220,115220
05/10/18,115220,115260,115210,115260
05/10/18,115260,115290,115250,115270
05/10/18,115270,115340,115270,115340
05/10/18,115330,115350,115290,115290
05/10/18,115300,115300,115280,115290
05/10/18,115280,115310,115270,115310
05/10/18,115310,115320,115280,115290
05/10/18,115290,115300,115270,115290
05/10/18,115300,115370,115300,115360
05/10/18,115370,115410,115370,115390
05/10/18,115390,115450,115390,115440
05/10/18,115450,115480,115420,115420
05/10/18,115420,115440,115390,115430
05/10/18,115430,115440,115400,115420
05/10/18,115430,115470,115430,115460
05/10/18,115440,115440,115400,115410
05/10/18,115410,115440,115410,115430
05/10/18,115430,115430,115400,115420
05/10/18,115420,115450,115400,115430
05/10/18,115430,115460,115430,115460
05/10/18,115470,115650,115460,115590
05/10/18,115610,115610,115500,115510
05/10/18,115510,115610,115500,115590
05/10/18,115600,115600,115520,115520
05/10/18,115510,115560,115490,115560
05/10/18,115550,115570,115520,115520
05/10/18,115530,115540,115520,115520
05/10/18,115550,115550,115510,115510
05/10/18,115510,115540,115510,115530
05/10/18,115530,115540,115520,115520
05/10/18,115520,115550,115520,115530
05/10/18,115540,115560,115540,115540
05/10/18,115540,115540,115490,115520
05/10/18,115530,115530,115500,115510
05/10/18,115510,115510,115500,115510
05/10/18,115500,115540,115500,115530
05/10/18,115520,115540,115510,115540
05/10/18,115530,115540,115530,115530
05/10/18,115530,115600,115530,115600
05/10/18,115600,115640,115590,115610
05/10/18,115610,115620,115590,115590
05/10/18,115590,115600,115590,115590
05/10/18,115600,115610,115590,115590
05/10/18,115590,115600,115590,115600
05/10/18,115610,115720,115610,115690
05/10/18,115690,115700,115650,115660
05/10/18,115650,115680,115650,115660
05/10/18,115650,115680,115640,115680
05/10/18,115680,115770,115680,115710
05/10/18,115710,115730,115690,115700
05/10/18,115700,115700,115680,115700
05/10/18,115690,115750,115690,115740
05/10/18,115730,115760,115730,115740
05/10/18,115750,115770,115740,115750
05/10/18,115750,116070,115750,116050
05/10/18,116040,116080,115860,115880
05/10/18,115880,115940,115870,115920
05/10/18,115910,115950,115890,115890
05/10/18,115890,115910,115850,115880
05/10/18,115890,115900,115870,115900
05/10/18,115900,116030,115900,115960
05/10/18,115970,115980,115870,115880
05/10/18,115880,115910,115850,115890
05/10/18,115910,115940,115900,115910
05/10/18,115910,115920,115870,115910
05/10/18,115910,115960,115880,115950
05/10/18,115970,116060,115950,116010
05/10/18,116010,116040,115990,116000
05/10/18,116000,116070,115990,116070
05/10/18,116050,116240,116050,116090
05/10/18,116090,116090,116020,116090
05/10/18,116090,116170,116070,116140
05/10/18,116140,116180,116140,116150
05/10/18,116140,116160,116110,116160
05/10/18,116170,116320,116160,116310
05/12/18,113460,113540,113030,113180
05/12/18,113200,113340,113190,113240
05/12/18,113250,113450,113240,113370
05/12/18,113380,113490,113360,113440
05/12/18,113430,113640,113430,113550
05/12/18,113560,113580,113440,113530
05/12/18,113530,113540,113420,113480
05/12/18,113480,113520,113460,113490
05/12/18,113480,113570,113480,113570
05/12/18,113570,113630,113510,113540
05/12/18,113550,113600,113530,113580
05/12/18,113580,113610,113560,113580
05/12/18,113560,113580,113440,113490
05/12/18,113490,113510,113470,113490
05/12/18,113490,113510,113460,113500
05/12/18,113490,113490,113410,113450
05/12/18,113450,113510,113430,113480
05/12/18,113480,113520,113460,113520
05/12/18,113510,113510,113480,113490
05/12/18,113490,113500,113420,113480
05/12/18,113480,113520,113470,113510
05/12/18,113500,113540,113490,113540
05/12/18,113540,113640,113540,113630
05/12/18,113630,113680,113580,113600
05/12/18,113610,113720,113600,113690
05/12/18,113700,113700,113600,113650
05/12/18,113630,113660,113620,113650
05/12/18,113650,113660,113620,113650
05/12/18,113660,113670,113560,113580
05/12/18,113580,113590,113520,113570
05/12/18,113570,113620,113540,113570
05/12/18,113570,113620,113570,113590
05/12/18,113580,113600,113470,113520
05/12/18,113520,113610,113510,113570
05/12/18,113570,113640,113560,113640
05/12/18,113650,113660,113580,113640
05/12/18,113630,113680,113620,113640
05/12/18,113650,113730,113640,113720
05/12/18,113700,113750,113670,113720
05/12/18,113720,113730,113680,113720
05/12/18,113720,113720,113690,113720
05/12/18,113710,113710,113670,113680
05/12/18,113690,113770,113680,113770
05/12/18,113770,113770,113700,113700
05/12/18,113710,113720,113670,113700
05/12/18,113690,113730,113680,113680
05/12/18,113680,113690,113640,113660
05/12/18,113650,113680,113640,113650
05/12/18,113660,113690,113600,113610
05/12/18,113620,113690,113620,113670
05/12/18,113670,113700,113650,113690
05/12/18,113680,113710,113670,113710
05/12/18,113690,113750,113690,113750
05/12/18,113750,113790,113710,113740
05/12/18,113730,113800,113730,113780
05/12/18,113770,113780,113700,113710
05/12/18,113720,113780,113700,113770
05/12/18,113760,113770,113730,113730
05/12/18,113730,113790,113730,113740
05/12/18,113760,113810,113720,113720
05/12/18,113720,113740,113540,113570
05/12/18,113560,113590,113530,113570
05/12/18,113580,113580,113540,113570
05/12/18,113560,113580,113510,113550
05/12/18,113530,113550,113480,113510
05/12/18,113510,113590,113500,113590
05/12/18,113580,113650,113540,113650
05/12/18,113650,113660,113570,113590
05/12/18,113590,113660,113590,113640
05/12/18,113640,113660,113580,113580
05/12/18,113580,113640,113570,113610
05/12/18,113630,113730,113630,113720
05/12/18,113710,113730,113660,113690
05/12/18,113690,113730,113690,113710
05/12/18,113700,113700,113440,113450
05/12/18,113440,113520,113400,113500
05/12/18,113500,113520,113440,113480
05/12/18,113470,113480,113410,113460
05/12/18,113470,113490,113430,113430
05/12/18,113430,113440,113340,113400
05/12/18,113400,113490,113390,113470
05/12/18,113470,113510,113420,113490
05/12/18,113480,113490,113430,113480
05/12/18,113480,113520,113470,113510
05/12/18,113500,113510,113460,113460
05/12/18,113450,113460,113360,113370
05/12/18,113360,113430,113350,113400
05/12/18,113400,113430,113360,113420
05/12/18,113410,113460,113400,113460
05/12/18,113460,113500,113450,113470
05/12/18,113460,113560,113450,113540
05/12/18,113550,113600,113510,113590
05/12/18,113590,113790,113590,113770
05/12/18,113760,113790,113740,113750
05/12/18,113750,113830,113720,113800
05/12/18,113790,113830,113750,113790
05/12/18,113770,113790,113740,113770
05/12/18,113760,113800,113740,113770
05/12/18,113780,113800,113750,113800
05/12/18,113800,113840,113790,113830
05/12/18,113830,113830,113780,113780
05/12/18,113790,113820,113780,113810
05/12/18,113810,113820,113780,113800
05/12/18,113800,113890,113800,113890
05/12/18,113890,113900,113840,113850
05/12/18,113860,113900,113850,113870
05/12/18,113860,113870,113830,113860
05/12/18,113860,113910,113860,113870
05/12/18,113880,113910,113870,113870
05/12/18,113870,113940,113870,113930
05/12/18,113940,113970,113880,113880
05/12/18,113890,113890,113850,113860
05/12/18,113860,113900,113850,113860
05/12/18,113870,113890,113860,113870
05/12/18,113880,113890,113800,113830
05/12/18,113840,113900,113840,113870
05/12/18,113860,113920,113860,113900
05/12/18,113890,113970,113890,113930
05/12/18,113940,113970,113930,113950
05/12/18,113950,113970,113890,113910
05/12/18,113920,114020,113910,114000
05/12/18,114010,114030,113890,113970
05/12/18,113970,114020,113910,113940
05/12/18,113950,114000,113940,113990
05/12/18,113980,114020,113960,113970
05/12/18,113980,113990,113950,113990
05/12/18,113980,113990,113940,113980
05/12/18,113980,113990,113940,113980
05/12/18,113980,114020,113960,113990
05/12/18,113990,114000,113940,113960
05/12/18,113960,113980,113940,113980
05/12/18,113980,114000,113950,113980
05/12/18,113970,113980,113900,113900
05/12/18,113910,113940,113890,113890
05/12/18,113890,113920,113870,113870
05/12/18,113880,113920,113860,113910
05/12/18,113910,113910,113860,113860
05/12/18,113860,113890,113850,113870
05/12/18,113880,113910,113870,113900
05/12/18,113900,113920,113850,113850
05/12/18,113860,113900,113810,113880
05/12/18,113870,113890,113840,113840
05/12/18,113850,113890,113830,113880
05/12/18,113880,113910,113860,113860
05/12/18,113860,113870,113820,113840
05/12/18,113850,113890,113850,113860
05/12/18,113860,113880,113820,113850
05/12/18,113850,113860,113820,113830
05/12/18,113830,113840,113780,113810
05/12/18,113810,113870,113810,113860
05/12/18,113850,113900,113850,113900
05/12/18,113900,113940,113880,113910
05/12/18,113920,113930,113870,113900
05/12/18,113920,113940,113880,113890
05/12/18,113900,113930,113900,113920
05/12/18,113920,113980,113910,113960
05/12/18,113970,113990,113960,113980
05/12/18,113990,113990,113950,113980
05/12/18,113980,114000,113940,113940
05/12/18,113940,113950,113890,113920
05/12/18,113920,113970,113910,113970
05/12/18,113980,114000,113920,113930
05/12/18,113920,114000,113920,113990
05/12/18,114000,114000,113970,113980
05/12/18,114000,114000,113950,113990
05/12/18,113990,114020,113920,113950
05/12/18,113960,113990,113930,113950
05/12/18,113950,113960,113940,113940
05/12/18,113950,113970,113930,113970
05/12/18,113980,113990,113940,113950
05/12/18,113960,113960,113920,113920
05/12/18,113930,113960,113920,113960
05/12/18,113950,114040,113950,114010
05/12/18,114020,114020,113950,113970
05/12/18,113960,114020,113960,113960
05/12/18,113950,113990,113910,113920
05/12/18,113930,113940,113900,113920
05/12/18,113930,113990,113930,113980
05/12/18,113990,114010,113960,113990
05/12/18,113990,114000,113950,113970
05/12/18,113970,114080,113960,114050
05/12/18,114050,114130,114010,114070
05/12/18,114070,114110,114060,114090
05/12/18,114100,114120,114060,114060
05/12/18,114060,114090,114060,114080
05/12/18,114080,114100,114070,114080
05/12/18,114090,114120,114070,114100
05/12/18,114110,114120,114080,114090
05/12/18,114090,114170,114090,114140
05/12/18,114150,114170,114110,114130
05/12/18,114140,114170,114130,114160
05/12/18,114160,114160,114130,114130
05/12/18,114130,114160,114120,114140
05/12/18,114140,114150,114120,114130
05/12/18,114130,114190,114130,114190
05/12/18,114180,114250,114170,114210
05/12/18,114200,114220,114180,114180
05/12/18,114170,114220,114160,114160
05/12/18,114170,114170,114080,114100
05/12/18,114110,114120,114090,114100
05/12/18,114100,114130,114080,114120
05/12/18,114110,114160,114100,114130
05/12/18,114140,114140,114110,114130
05/12/18,114110,114140,114110,114120
05/12/18,114120,114130,114100,114100
05/12/18,114110,114200,114100,114190
05/12/18,114180,114200,114160,114170
05/12/18,114150,114170,114120,114140
05/12/18,114140,114180,114130,114130
05/12/18,114140,114180,114130,114130
05/12/18,114130,114150,114120,114140
05/12/18,114140,114140,114110,114110
05/12/18,114110,114130,114090,114120
05/12/18,114110,114130,114090,114090
05/12/18,114090,114110,114080,114090
05/12/18,114100,114110,114080,114090
05/12/18,114090,114110,114070,114100
05/12/18,114100,114130,114070,114120
05/12/18,114110,114130,114090,114100
05/12/18,114100,114120,114090,114120
05/12/18,114110,114190,114110,114180
05/12/18,114180,114190,114140,114160
05/12/18,114170,114180,114140,114180
05/12/18,114180,114190,114160,114180
05/12/18,114190,114320,114180,114240
05/12/18,114230,114250,114220,114240
05/12/18,114230,114280,114230,114260
05/12/18,114250,114260,114200,114220
05/12/18,114230,114250,114200,114240
05/12/18,114240,114260,114200,114220
05/12/18,114220,114240,114180,114200
05/12/18,114200,114220,114170,114190
05/12/18,114180,114200,114170,114200
05/12/18,114200,114210,114180,114190
05/12/18,114190,114190,114170,114170
05/12/18,114170,114220,114170,114220
05/12/18,114210,114250,114200,114220
05/12/18,114230,114260,114220,114220
05/12/18,114230,114240,114210,114220
05/12/18,114220,114230,114190,114230
05/12/18,114230,114280,114230,114230
05/12/18,114220,114250,114180,114180
05/12/18,114180,114190,114130,114150
05/12/18,114150,114230,114150,114200
05/12/18,114190,114260,114190,114250
05/12/18,114250,114310,114240,114280
05/12/18,114290,114310,114270,114290
05/12/18,114280,114300,114260,114270
05/12/18,114280,114300,114250,114250
05/12/18,114250,114300,114250,114290
05/12/18,114290,114300,114230,114270
05/12/18,114260,114260,114170,114190
05/12/18,114190,114220,114170,114180
05/12/18,114190,114190,114160,114190
05/12/18,114190,114190,114150,114170
05/12/18,114170,114200,114170,114190
05/12/18,114170,114220,114170,114190
05/12/18,114180,114220,114160,114190
05/12/18,114190,114210,114160,114160
05/12/18,114170,114180,114150,114180
05/12/18,114170,114210,114160,114180
05/12/18,114180,114180,114160,114170
05/12/18,114180,114190,114170,114170
05/12/18,114180,114200,114170,114200
05/12/18,114190,114200,114160,114180
05/12/18,114170,114180,114130,114140
05/12/18,114140,114180,114130,114180
05/12/18,114180,114190,114170,114190
05/12/18,114190,114220,114170,114180
05/12/18,114170,114200,114160,114200
05/12/18,114200,114210,114170,114190
05/12/18,114180,114230,114180,114200
05/12/18,114200,114230,114200,114210
05/12/18,114210,114260,114200,114240
05/12/18,114250,114290,114240,114270
05/12/18,114270,114290,114270,114280
05/12/18,114270,114280,114250,114280
05/12/18,114280,114310,114270,114280
05/12/18,114280,114300,114260,114290
05/12/18,114290,114290,114260,114270
05/12/18,114270,114280,114240,114250
05/12/18,114250,114260,114240,114250
05/12/18,114240,114240,114200,114230
05/12/18,114240,114240,114220,114220
05/12/18,114220,114220,114170,114170
05/12/18,114190,114230,114180,114220
05/12/18,114220,114230,114200,114210
05/12/18,114210,114220,114170,114190
05/12/18,114180,114200,114130,114160
05/12/18,114160,114170,114110,114150
05/12/18,114140,114200,114140,114200
05/12/18,114180,114200,114180,114200
05/12/18,114190,114200,114180,114200
05/12/18,114190,114220,114180,114210
05/12/18,114220,114270,114210,114250
05/12/18,114260,114270,114220,114240
05/12/18,114250,114270,114230,114270
05/12/18,114260,114300,114260,114290
05/12/18,114290,114410,114260,114360
05/12/18,114360,114400,114340,114380
05/12/18,114380,114470,114370,114420
05/12/18,114430,114430,114380,114390
05/12/18,114390,114400,114370,114390
05/12/18,114390,114400,114380,114400
05/12/18,114380,114400,114370,114370
05/12/18,114380,114400,114370,114390
05/12/18,114390,114540,114390,114470
05/12/18,114480,114500,114440,114460
05/12/18,114470,114490,114450,114460
05/12/18,114460,114470,114360,114380
05/12/18,114370,114410,114360,114380
05/12/18,114380,114410,114370,114380
05/12/18,114370,114400,114360,114370
05/12/18,114380,114380,114330,114360
05/12/18,114360,114360,114330,114350
05/12/18,114340,114370,114310,114330
05/12/18,114340,114420,114340,114420
05/12/18,114410,114440,114400,114410
05/12/18,114410,114410,114370,114380
05/12/18,114380,114410,114350,114410
05/12/18,114400,114420,114370,114390
05/12/18,114380,114410,114370,114410
05/12/18,114410,114430,114360,114390
05/12/18,114390,114400,114360,114390
05/12/18,114390,114390,114370,114390
05/12/18,114380,114430,114380,114400
05/12/18,114400,114410,114380,114390
05/12/18,114390,114420,114360,114380
05/12/18,114370,114440,114370,114390
05/12/18,114390,114410,114380,114400
05/12/18,114400,114430,114380,114420
05/12/18,114420,114450,114400,114440
05/12/18,114440,114500,114430,114460
05/12/18,114460,114490,114440,114490
05/12/18,114480,114520,114460,114520
05/12/18,114510,114520,114470,114500
05/12/18,114500,114510,114480,114480
05/12/18,114480,114580,114480,114550
05/12/18,114550,114570,114530,114530
05/12/18,114530,114560,114510,114510
05/12/18,114520,114550,114500,114510
05/12/18,114500,114560,114500,114530
05/12/18,114520,114540,114490,114500
05/12/18,114510,114550,114500,114530
05/12/18,114540,114560,114530,114530
05/12/18,114530,114530,114510,114510
05/12/18,114520,114520,114490,114500
05/12/18,114500,114520,114490,114500
05/12/18,114500,114520,114490,114510
05/12/18,114520,114520,114500,114500
05/12/18,114500,114530,114500,114510
05/12/18,114510,114530,114510,114530
05/12/18,114530,114550,114510,114520
05/12/18,114510,114530,114500,114520
05/12/18,114520,114620,114500,114530
05/12/18,114510,114560,114490,114490
05/12/18,114500,114510,114450,114450
05/12/18,114450,114490,114450,114480
05/12/18,114480,114500,114460,114490
05/12/18,114500,114500,114430,114430
05/12/18,114430,114480,114430,114470
05/12/18,114460,114480,114460,114470
05/12/18,114450,114470,114430,114460
05/12/18,114460,114460,114430,114450
05/12/18,114450,114470,114440,114450
05/12/18,114450,114470,114440,114450
05/12/18,114450,114460,114440,114460
05/12/18,114460,114460,114440,114450
05/12/18,114460,114470,114440,114440
05/12/18,114430,114450,114410,114420
05/12/18,114430,114440,114410,114410
05/12/18,114410,114420,114380,114390
05/12/18,114390,114420,114380,114390
05/12/18,114390,114400,114380,114390
05/12/18,114390,114400,114370,114390
05/12/18,114390,114400,114370,114390
05/12/18,114400,114440,114400,114420
05/12/18,114420,114480,114420,114460
05/12/18,114480,114480,114450,114470
05/12/18,114460,114510,114450,114500
05/12/18,114500,114510,114400,114420
05/12/18,114410,114460,114390,114420
05/12/18,114410,114410,114350,114400
05/12/18,114400,114400,114390,114390
05/12/18,114390,114430,114390,114430
05/12/18,114430,114460,114420,114460
05/12/18,114450,114470,114410,114430
05/12/18,114440,114450,114420,114440
05/12/18,114440,114460,114390,114430
05/12/18,114430,114440,114400,114410
05/12/18,114410,114430,114370,114370
05/12/18,114370,114390,114360,114380
05/12/18,114380,114380,114310,114340
05/12/18,114340,114340,114210,114260
05/12/18,114260,114270,114170,114230
05/12/18,114230,114270,114210,114230
05/12/18,114230,114290,114220,114290
05/12/18,114300,114350,114300,114300
05/12/18,114310,114310,114270,114300
05/12/18,114280,114310,114270,114310
05/12/18,114300,114340,114290,114310
05/12/18,114320,114330,114310,114320
05/12/18,114330,114340,114310,114320
05/12/18,114330,114340,114310,114310
05/12/18,114320,114320,114240,114250
05/12/18,114260,114310,114260,114280
05/12/18,114280,114330,114280,114310
05/12/18,114320,114320,114290,114300
05/12/18,114300,114330,114290,114320
05/12/18,114310,114390,114310,114360
05/12/18,114380,114450,114380,114430
05/12/18,114440,114460,114430,114440
05/12/18,114450,114460,114430,114440
05/12/18,114430,114450,114410,114420
05/12/18,114420,114480,114400,114410
05/12/18,114400,114450,114400,114400
05/12/18,114410,114450,114410,114440
05/12/18,114440,114450,114430,114440
05/12/18,114440,114480,114430,114470
05/12/18,114470,114500,114430,114430
05/12/18,114430,114480,114430,114470
05/12/18,114460,114490,114460,114490
05/12/18,114480,114490,114460,114480
05/12/18,114470,114500,114460,114470
05/12/18,114470,114490,114450,114470
05/12/18,114470,114480,114440,114450
05/12/18,114450,114470,114430,114430
05/12/18,114430,114480,114430,114460
05/12/18,114460,114470,114430,114440
05/12/18,114460,114470,114400,114420
05/12/18,114430,114440,114410,114440
05/12/18,114450,114460,114410,114420
05/12/18,114410,114420,114380,114380
05/12/18,114400,114450,114390,114410
05/12/18,114410,114430,114380,114390
05/12/18,114400,114440,114400,114420
05/12/18,114430,114460,114430,114450
05/12/18,114450,114580,114420,114570
05/12/18,114570,114750,114560,114650
05/12/18,114650,114690,114620,114650
05/12/18,114640,114690,114630,114640
05/12/18,114650,114650,114590,114620
05/12/18,114630,114650,114610,114640
05/12/18,114640,114670,114620,114620
05/12/18,114630,114680,114610,114670
05/12/18,114670,114710,114660,114690
05/12/18,114690,114720,114680,114710
05/12/18,114720,114790,114690,114780
05/12/18,114770,114870,114770,114850
05/12/18,114850,114910,114830,114890
05/12/18,114890,114900,114810,114820
05/12/18,114820,114830,114790,114790
05/12/18,114800,114830,114790,114800
05/12/18,114810,114820,114770,114780
05/12/18,114790,114800,114770,114770
05/12/18,114790,114800,114770,114780
05/12/18,114770,114800,114750,114750
05/12/18,114750,114780,114750,114770
05/12/18,114770,114810,114750,114750
05/12/18,114760,114800,114680,114720
05/12/18,114730,114880,114710,114850
05/12/18,114840,114860,114800,114820
05/12/18,114820,114840,114780,114780
05/12/18,114790,114810,114780,114780
05/12/18,114800,114810,114780,114790
05/12/18,114800,114810,114780,114780
05/12/18,114800,114800,114740,114770
05/12/18,114770,114790,114750,114750
05/12/18,114760,114760,114690,114710
05/12/18,114710,114770,114710,114760
05/12/18,114760,114770,114690,114700
05/12/18,114700,114730,114680,114680
05/12/18,114680,114700,114660,114690
05/12/18,114700,114780,114700,114770
05/12/18,114770,114790,114760,114760
05/12/18,114780,114800,114690,114700
05/12/18,114710,114740,114680,114680
05/12/18,114690,114700,114680,114690
05/12/18,114690,114700,114630,114680
05/12/18,114680,114690,114660,114660
05/12/18,114670,114690,114660,114680
05/12/18,114680,114710,114680,114710
05/12/18,114710,114710,114690,114710
05/12/18,114710,114760,114700,114740
05/12/18,114740,114780,114740,114770
05/12/18,114770,114770,114730,114760
05/12/18,114770,114810,114770,114800
05/12/18,114790,114820,114790,114800
05/12/18,114800,114820,114800,114810
05/12/18,114810,114840,114800,114800
05/12/18,114810,114850,114800,114840
05/12/18,114830,114850,114820,114820
05/12/18,114820,114820,114730,114780
05/12/18,114770,114780,114730,114730
05/12/18,114730,114770,114720,114760
05/12/18,114760,114790,114730,114740
05/12/18,114750,114770,114710,114770
05/12/18,114760,114780,114740,114750
05/12/18,114760,114770,114730,114730
05/12/18,114740,114780,114730,114750
05/12/18,114770,114770,114740,114750
05/12/18,114750,114760,114710,114720
05/12/18,114730,114740,114720,114720
