<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/09/18,106510,106510,106510,106510
05/09/18,106700,106700,106700,106700
05/09/18,106600,106600,106600,106600
05/09/18,106550,106550,106550,106550
05/09/18,106460,106460,106400,106400
05/09/18,106370,106370,106360,106360
05/09/18,106280,106280,106270,106270
05/09/18,106260,106260,106260,106260
05/09/18,106480,106480,106480,106480
05/09/18,106320,106320,106320,106320
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106340,106350,106270,106270
05/09/18,106250,106250,106250,106250
05/09/18,106370,106370,106370,106370
05/09/18,106350,106350,106350,106350
05/09/18,106360,106360,106360,106360
05/09/18,106400,106400,106400,106400
05/09/18,106360,106360,106360,106360
05/09/18,106330,106330,106330,106330
05/09/18,106340,106340,106340,106340
05/09/18,106300,106320,106300,106320
05/09/18,106300,106300,106250,106250
05/09/18,106200,106200,106190,106190
05/09/18,106240,106240,106240,106240
05/09/18,106170,106240,106160,106240
05/09/18,106240,106240,106240,106240
05/09/18,106370,106400,106370,106390
05/09/18,106250,106250,106240,106240
05/09/18,106350,106360,106350,106360
05/09/18,106400,106400,106400,106400
05/09/18,106400,106400,106400,106400
05/09/18,106410,106410,106400,106400
05/09/18,106380,106380,106350,106350
05/09/18,106340,106340,106340,106340
05/09/18,106300,106300,106280,106290
05/09/18,106250,106250,106250,106250
05/09/18,106160,106160,106110,106110
05/09/18,106180,106180,106180,106180
05/09/18,106110,106110,106020,106050
05/09/18,106100,106120,106100,106110
05/09/18,106250,106290,106250,106290
05/09/18,106250,106250,106250,106250
05/09/18,106240,106240,106240,106240
05/09/18,106180,106180,106180,106180
05/09/18,106210,106210,106200,106200
05/09/18,106300,106300,106290,106290
05/09/18,106220,106220,106220,106220
05/09/18,106400,106400,106400,106400
05/09/18,106440,106480,106400,106400
05/09/18,106360,106360,106360,106360
05/09/18,106360,106360,106360,106360
05/09/18,106370,106370,106370,106370
05/09/18,106400,106400,106400,106400
05/09/18,106400,106400,106400,106400
05/09/18,106410,106410,106410,106410
05/09/18,106400,106400,106400,106400
05/09/18,106270,106270,106250,106250
05/09/18,106260,106260,106260,106260
05/09/18,106200,106230,106200,106230
05/09/18,106230,106230,106230,106230
05/09/18,106290,106290,106290,106290
05/09/18,106360,106360,106360,106360
05/09/18,106320,106320,106320,106320
05/09/18,106380,106400,106380,106400
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106420,106420,106420,106420
05/09/18,106410,106410,106410,106410
05/09/18,106440,106520,106440,106520
05/09/18,106520,106520,106520,106520
05/09/18,106420,106420,106420,106420
05/09/18,106340,106340,106340,106340
05/09/18,106390,106390,106360,106360
05/09/18,106250,106250,106250,106250
05/09/18,106280,106280,106280,106280
05/09/18,106300,106300,106300,106300
05/10/18,114310,115030,114310,114980
05/10/18,114980,115120,114880,114950
05/10/18,114960,115000,114820,114880
05/10/18,114880,114910,114790,114830
05/10/18,114850,114920,114810,114920
05/10/18,114920,114930,114810,114810
05/10/18,114810,114890,114800,114820
05/10/18,114820,114900,114810,114880
05/10/18,114890,114920,114860,114920
05/10/18,114920,114950,114890,114890
05/10/18,114890,115000,114880,114960
05/10/18,114960,115000,114920,114920
05/10/18,114930,114930,114880,114890
05/10/18,114880,114950,114880,114940
05/10/18,114950,115000,114940,114990
05/10/18,114980,115160,114970,115140
05/10/18,115150,115320,115150,115280
05/10/18,115290,115330,115200,115330
05/10/18,115320,115360,115230,115290
05/10/18,115280,115290,115190,115270
05/10/18,115280,115310,115220,115260
05/10/18,115260,115310,115220,115300
05/10/18,115300,115360,115240,115260
05/10/18,115250,115270,115160,115180
05/10/18,115190,115220,115170,115180
05/10/18,115180,115370,115180,115370
05/10/18,115370,115380,115290,115350
05/10/18,115350,115390,115300,115370
05/10/18,115370,115550,115340,115500
05/10/18,115490,115600,115450,115590
05/10/18,115570,115660,115560,115570
05/10/18,115560,115640,115540,115620
05/10/18,115620,115680,115550,115580
05/10/18,115560,115570,115450,115500
05/10/18,115490,115530,115460,115530
05/10/18,115510,115600,115480,115540
05/10/18,115550,115590,115420,115420
05/10/18,115420,115480,115290,115310
05/10/18,115310,115370,115280,115280
05/10/18,115280,115390,115280,115320
05/10/18,115340,115430,115330,115380
05/10/18,115400,115450,115370,115430
05/10/18,115430,115440,115360,115410
05/10/18,115410,115480,115410,115450
05/10/18,115440,115490,115380,115380
05/10/18,115380,115550,115380,115500
05/10/18,115510,115520,115420,115440
05/10/18,115440,115470,115310,115330
05/10/18,115330,115470,115290,115460
05/10/18,115440,115520,115410,115480
05/10/18,115460,115480,115360,115410
05/10/18,115420,115480,115390,115400
05/10/18,115400,115400,115290,115310
05/10/18,115310,115360,115220,115280
05/10/18,115280,115300,115180,115190
05/10/18,115190,115260,115190,115190
05/10/18,115190,115210,115160,115180
05/10/18,115210,115300,115210,115270
05/10/18,115270,115290,115200,115200
05/10/18,115220,115290,115200,115220
05/10/18,115240,115260,115160,115160
05/10/18,115160,115200,115130,115140
05/10/18,115140,115170,115120,115130
05/10/18,115140,115140,115000,115010
05/10/18,115020,115050,114990,115030
05/10/18,115020,115180,115000,115090
05/10/18,115110,115210,115090,115180
05/10/18,115190,115290,115130,115130
05/10/18,115130,115200,115130,115200
05/10/18,115200,115250,115170,115240
05/10/18,115240,115280,115180,115250
05/10/18,115230,115360,115230,115280
05/10/18,115280,115350,115260,115320
05/10/18,115320,115350,115290,115320
05/10/18,115330,115340,115240,115280
05/10/18,115290,115330,115250,115270
05/10/18,115270,115330,115260,115290
05/10/18,115300,115300,115250,115260
05/10/18,115260,115300,115250,115280
05/10/18,115280,115310,115260,115270
05/10/18,115280,115300,115230,115230
05/10/18,115230,115240,115140,115210
05/10/18,115200,115220,115130,115190
05/10/18,115200,115220,115170,115190
05/10/18,115190,115200,115160,115180
05/10/18,115180,115180,115090,115130
05/10/18,115140,115150,115080,115120
05/10/18,115110,115120,114890,114940
05/10/18,114940,114940,114720,114800
05/10/18,114800,114870,114790,114800
05/10/18,114810,114850,114790,114800
05/10/18,114800,114810,114730,114790
05/10/18,114800,114810,114710,114800
05/10/18,114800,114820,114750,114810
05/10/18,114810,114840,114730,114740
05/10/18,114740,114800,114620,114650
05/10/18,114660,114660,114550,114580
05/10/18,114570,114590,114430,114440
05/10/18,114440,114530,114430,114520
05/10/18,114500,114510,114450,114470
05/10/18,114460,114500,114390,114480
05/10/18,114470,114540,114470,114520
05/10/18,114530,114580,114510,114560
05/10/18,114570,114610,114470,114480
05/10/18,114480,114530,114440,114470
05/10/18,114460,114480,114350,114350
05/10/18,114360,114380,114250,114310
05/10/18,114310,114430,114300,114400
05/10/18,114410,114430,114340,114390
05/10/18,114400,114410,114350,114410
05/10/18,114420,114570,114390,114510
